"NumClusters","LinkFunction","MeanVarStructure","RealWorkingCorr","SpecifiedWorkingCorr","SERMSE"
2,"log","Poisson","independence","independence",5.53962409118814e-14
2,"log","Poisson","independence","exchangeable",6.14821747629949e-14
2,"log","Poisson","independence","ar1",7.32051744207389e-14
2,"log","Poisson","exchangeable","independence",5.7676795817997e-14
2,"log","Poisson","exchangeable","exchangeable",4.28523239847788e-14
2,"log","Poisson","exchangeable","ar1",3.75010916313547e-14
2,"log","Poisson","ar1","independence",1.30842206801486e-13
2,"log","Poisson","ar1","exchangeable",7.56220427376191e-14
2,"log","Poisson","ar1","ar1",9.0876950228799e-14
2,"log","Gamma","independence","independence",0.203972852462896
2,"log","Gamma","independence","exchangeable",0.222188375910133
2,"log","Gamma","independence","ar1",0.293741413479004
2,"log","Gamma","exchangeable","independence",0.42552878155778
2,"log","Gamma","exchangeable","exchangeable",0.334259052477789
2,"log","Gamma","exchangeable","ar1",0.27371540331829
2,"log","Gamma","ar1","independence",0.20464507255656
2,"log","Gamma","ar1","exchangeable",0.235063137420955
2,"log","Gamma","ar1","ar1",0.270487577999696
2,"identity","Poisson","independence","independence",6.56225129348326
2,"identity","Poisson","independence","exchangeable",5.11220975765505
2,"identity","Poisson","independence","ar1",4.03007333124956
2,"identity","Poisson","exchangeable","independence",12.4462353127799
2,"identity","Poisson","exchangeable","exchangeable",15.9585824625771
2,"identity","Poisson","exchangeable","ar1",10.5489018109622
2,"identity","Poisson","ar1","independence",4.5182305909678
2,"identity","Poisson","ar1","exchangeable",5.95079867468901
2,"identity","Poisson","ar1","ar1",5.21283238178972
2,"identity","Gamma","independence","independence",12.3139783523507
2,"identity","Gamma","independence","exchangeable",14.1040666696683
2,"identity","Gamma","independence","ar1",12.9472655378409
2,"identity","Gamma","exchangeable","independence",26.1046759491101
2,"identity","Gamma","exchangeable","exchangeable",36.5997305938193
2,"identity","Gamma","exchangeable","ar1",36.5601390861381
2,"identity","Gamma","ar1","independence",14.7817772728734
2,"identity","Gamma","ar1","exchangeable",16.3897068152879
2,"identity","Gamma","ar1","ar1",18.9397184166281
3,"log","Poisson","independence","independence",4.90331941745018e-14
3,"log","Poisson","independence","exchangeable",5.88543086513947e-14
3,"log","Poisson","independence","ar1",6.37519413322208e-14
3,"log","Poisson","exchangeable","independence",4.07857465977428e-14
3,"log","Poisson","exchangeable","exchangeable",4.06220236434606e-14
3,"log","Poisson","exchangeable","ar1",4.22820183034261e-14
3,"log","Poisson","ar1","independence",3.86368627394582e-14
3,"log","Poisson","ar1","exchangeable",6.28291627891484e-14
3,"log","Poisson","ar1","ar1",7.23640343066954e-14
3,"log","Gamma","independence","independence",0.226671105955443
3,"log","Gamma","independence","exchangeable",0.193318960520117
3,"log","Gamma","independence","ar1",0.233670610920686
3,"log","Gamma","exchangeable","independence",0.268694919784522
3,"log","Gamma","exchangeable","exchangeable",0.460702450194814
3,"log","Gamma","exchangeable","ar1",0.376666968393665
3,"log","Gamma","ar1","independence",0.192883330469833
3,"log","Gamma","ar1","exchangeable",0.22334843609102
3,"log","Gamma","ar1","ar1",0.236354863123047
3,"identity","Poisson","independence","independence",5.14764875925009
3,"identity","Poisson","independence","exchangeable",5.15250868737729
3,"identity","Poisson","independence","ar1",4.65454840266777
3,"identity","Poisson","exchangeable","independence",15.3669043767591
3,"identity","Poisson","exchangeable","exchangeable",9.47148941453041
3,"identity","Poisson","exchangeable","ar1",11.9387551169721
3,"identity","Poisson","ar1","independence",4.56177248091927
3,"identity","Poisson","ar1","exchangeable",6.51565826682404
3,"identity","Poisson","ar1","ar1",5.99163905537857
3,"identity","Gamma","independence","independence",19.6712973016628
3,"identity","Gamma","independence","exchangeable",16.6281285098952
3,"identity","Gamma","independence","ar1",20.8397877779553
3,"identity","Gamma","exchangeable","independence",31.8879141228352
3,"identity","Gamma","exchangeable","exchangeable",30.0221814765264
3,"identity","Gamma","exchangeable","ar1",47.6373075653945
3,"identity","Gamma","ar1","independence",23.3356069029545
3,"identity","Gamma","ar1","exchangeable",16.4957475076019
3,"identity","Gamma","ar1","ar1",20.7350762530147
4,"log","Poisson","independence","independence",4.84877164105443e-14
4,"log","Poisson","independence","exchangeable",5.66851050855388e-14
4,"log","Poisson","independence","ar1",6.41812990484265e-14
4,"log","Poisson","exchangeable","independence",6.56669568896432e-14
4,"log","Poisson","exchangeable","exchangeable",4.75017115230826e-14
4,"log","Poisson","exchangeable","ar1",5.66637941219726e-14
4,"log","Poisson","ar1","independence",5.93358207801885e-14
4,"log","Poisson","ar1","exchangeable",5.97250581829665e-14
4,"log","Poisson","ar1","ar1",6.3079861117423e-14
4,"log","Gamma","independence","independence",0.191053652590046
4,"log","Gamma","independence","exchangeable",0.1580990404626
4,"log","Gamma","independence","ar1",0.148332097446127
4,"log","Gamma","exchangeable","independence",0.490147812505799
4,"log","Gamma","exchangeable","exchangeable",0.416377757929306
4,"log","Gamma","exchangeable","ar1",0.407327528264274
4,"log","Gamma","ar1","independence",0.217962457109802
4,"log","Gamma","ar1","exchangeable",0.229109162347553
4,"log","Gamma","ar1","ar1",0.224414240401492
4,"identity","Poisson","independence","independence",4.55543512900705
4,"identity","Poisson","independence","exchangeable",5.06709807043626
4,"identity","Poisson","independence","ar1",5.42273013745621
4,"identity","Poisson","exchangeable","independence",10.3172940807491
4,"identity","Poisson","exchangeable","exchangeable",9.0055978889994
4,"identity","Poisson","exchangeable","ar1",14.8505154705507
4,"identity","Poisson","ar1","independence",5.84932501029694
4,"identity","Poisson","ar1","exchangeable",7.6394652568581
4,"identity","Poisson","ar1","ar1",8.4429560417095
4,"identity","Gamma","independence","independence",15.3980123113584
4,"identity","Gamma","independence","exchangeable",21.5290814346583
4,"identity","Gamma","independence","ar1",15.6961071684387
4,"identity","Gamma","exchangeable","independence",43.1612203416299
4,"identity","Gamma","exchangeable","exchangeable",35.6239880830981
4,"identity","Gamma","exchangeable","ar1",49.0009399011401
4,"identity","Gamma","ar1","independence",17.1265374663479
4,"identity","Gamma","ar1","exchangeable",16.5219185967383
4,"identity","Gamma","ar1","ar1",22.846356569135
5,"log","Poisson","independence","independence",6.57515228072788e-14
5,"log","Poisson","independence","exchangeable",5.10335964560526e-14
5,"log","Poisson","independence","ar1",5.86300602482608e-14
5,"log","Poisson","exchangeable","independence",6.04903557089641e-14
5,"log","Poisson","exchangeable","exchangeable",4.65195667527005e-14
5,"log","Poisson","exchangeable","ar1",4.81698409240256e-14
5,"log","Poisson","ar1","independence",1.1415637580064e-13
5,"log","Poisson","ar1","exchangeable",6.51796137118875e-14
5,"log","Poisson","ar1","ar1",7.86311989815709e-14
5,"log","Gamma","independence","independence",0.168138295546357
5,"log","Gamma","independence","exchangeable",0.165519339957955
5,"log","Gamma","independence","ar1",0.178206884576187
5,"log","Gamma","exchangeable","independence",0.312976001172446
5,"log","Gamma","exchangeable","exchangeable",0.273068851134079
5,"log","Gamma","exchangeable","ar1",0.431651475329358
5,"log","Gamma","ar1","independence",0.20249035544529
5,"log","Gamma","ar1","exchangeable",0.228506805125687
5,"log","Gamma","ar1","ar1",0.233761327640649
5,"identity","Poisson","independence","independence",5.80538757825767
5,"identity","Poisson","independence","exchangeable",4.97758127721952
5,"identity","Poisson","independence","ar1",7.02751296278876
5,"identity","Poisson","exchangeable","independence",8.26500946983924
5,"identity","Poisson","exchangeable","exchangeable",10.5935529183212
5,"identity","Poisson","exchangeable","ar1",11.6182981034927
5,"identity","Poisson","ar1","independence",5.30789141184782
5,"identity","Poisson","ar1","exchangeable",5.87743114683034
5,"identity","Poisson","ar1","ar1",6.6007700655849
5,"identity","Gamma","independence","independence",20.1456465559185
5,"identity","Gamma","independence","exchangeable",23.5281854923257
5,"identity","Gamma","independence","ar1",18.1912238737164
5,"identity","Gamma","exchangeable","independence",24.3590150679101
5,"identity","Gamma","exchangeable","exchangeable",36.0245973575457
5,"identity","Gamma","exchangeable","ar1",38.0378684890149
5,"identity","Gamma","ar1","independence",19.5890014380341
5,"identity","Gamma","ar1","exchangeable",17.5060536703414
5,"identity","Gamma","ar1","ar1",18.7539912911892
6,"log","Poisson","independence","independence",7.30713096020528e-14
6,"log","Poisson","independence","exchangeable",6.12227605107667e-14
6,"log","Poisson","independence","ar1",7.05273914499152e-14
6,"log","Poisson","exchangeable","independence",7.1402967536749e-14
6,"log","Poisson","exchangeable","exchangeable",5.20419928650968e-14
6,"log","Poisson","exchangeable","ar1",5.00787111497908e-14
6,"log","Poisson","ar1","independence",5.35905937776662e-14
6,"log","Poisson","ar1","exchangeable",7.02260239770526e-14
6,"log","Poisson","ar1","ar1",7.33128828939266e-14
6,"log","Gamma","independence","independence",0.15788067097637
6,"log","Gamma","independence","exchangeable",0.216668105717791
6,"log","Gamma","independence","ar1",0.195117982300612
6,"log","Gamma","exchangeable","independence",0.360577050083016
6,"log","Gamma","exchangeable","exchangeable",0.3242074362165
6,"log","Gamma","exchangeable","ar1",0.291812909485919
6,"log","Gamma","ar1","independence",0.195304684262864
6,"log","Gamma","ar1","exchangeable",0.25071286461501
6,"log","Gamma","ar1","ar1",0.2347962768295
6,"identity","Poisson","independence","independence",5.52142158924797
6,"identity","Poisson","independence","exchangeable",6.59272757297397
6,"identity","Poisson","independence","ar1",5.37118453328855
6,"identity","Poisson","exchangeable","independence",7.18596799175771
6,"identity","Poisson","exchangeable","exchangeable",8.74448622187208
6,"identity","Poisson","exchangeable","ar1",6.9209891555622
6,"identity","Poisson","ar1","independence",5.78381737886547
6,"identity","Poisson","ar1","exchangeable",5.13959927134947
6,"identity","Poisson","ar1","ar1",5.34126363618212
6,"identity","Gamma","independence","independence",20.121743884256
6,"identity","Gamma","independence","exchangeable",22.982199054324
6,"identity","Gamma","independence","ar1",17.0060733908286
6,"identity","Gamma","exchangeable","independence",26.369816257212
6,"identity","Gamma","exchangeable","exchangeable",23.0989821938394
6,"identity","Gamma","exchangeable","ar1",30.1340211512695
6,"identity","Gamma","ar1","independence",24.8110914572523
6,"identity","Gamma","ar1","exchangeable",12.924258923973
6,"identity","Gamma","ar1","ar1",20.4940491112265
10,"log","Poisson","independence","independence",6.14532125134713e-14
10,"log","Poisson","independence","exchangeable",4.09136582389385e-14
10,"log","Poisson","independence","ar1",5.53984971561395e-14
10,"log","Poisson","exchangeable","independence",4.52446266246682e-14
10,"log","Poisson","exchangeable","exchangeable",5.27938120911171e-14
10,"log","Poisson","exchangeable","ar1",6.442348386295e-14
10,"log","Poisson","ar1","independence",5.38050383243595e-14
10,"log","Poisson","ar1","exchangeable",6.2144366446221e-14
10,"log","Poisson","ar1","ar1",6.64633468653694e-14
10,"log","Gamma","independence","independence",0.177019320601483
10,"log","Gamma","independence","exchangeable",0.196491288275069
10,"log","Gamma","independence","ar1",0.208447597855091
10,"log","Gamma","exchangeable","independence",0.199990644901764
10,"log","Gamma","exchangeable","exchangeable",0.19835797103233
10,"log","Gamma","exchangeable","ar1",0.232543263291596
10,"log","Gamma","ar1","independence",0.186668038497054
10,"log","Gamma","ar1","exchangeable",0.212950407240719
10,"log","Gamma","ar1","ar1",0.221136903491869
10,"identity","Poisson","independence","independence",6.58527277626693
10,"identity","Poisson","independence","exchangeable",6.6943514375937
10,"identity","Poisson","independence","ar1",4.8311932645673
10,"identity","Poisson","exchangeable","independence",7.35349162696513
10,"identity","Poisson","exchangeable","exchangeable",6.23592769772398
10,"identity","Poisson","exchangeable","ar1",5.58882144834417
10,"identity","Poisson","ar1","independence",5.62378843510351
10,"identity","Poisson","ar1","exchangeable",5.19551007137343
10,"identity","Poisson","ar1","ar1",4.66458387490755
10,"identity","Gamma","independence","independence",20.252619773046
10,"identity","Gamma","independence","exchangeable",13.6076804059384
10,"identity","Gamma","independence","ar1",19.7164863351346
10,"identity","Gamma","exchangeable","independence",22.3656563671856
10,"identity","Gamma","exchangeable","exchangeable",23.8240679378343
10,"identity","Gamma","exchangeable","ar1",18.7982577407314
10,"identity","Gamma","ar1","independence",17.0868342480139
10,"identity","Gamma","ar1","exchangeable",17.2366255956159
10,"identity","Gamma","ar1","ar1",19.0227850849226
